text,label
"I'm thrilled with the progress we're making.",polite
"I'm absolutely disgusted by this behavior.",angry
"Please assist me with resolving this matter.",requesting
"Can you clarify your expectations for this assignment?",questioning
"Thank you for your assistance and support!",polite
"I'm deeply upset about the lack of professionalism.",angry
"Could you please send me the latest version of this document?",requesting
"Can you explain the steps to me, please?",questioning
"Good morning, hope you have a wonderful day!",polite
"I'm impressed with the efficiency of your service.",polite
"I'm furious about the delay in response.",angry
"Please help me understand the reasoning behind this decision.",requesting
"Can you explain why this issue occurred?",questioning
"Thank you for your quick response and assistance!",polite
"I'm really disappointed with the service provided.",angry
"Can you please look into this matter further?",requesting
"Could you clarify the details of this agreement?",questioning
"Hi, hope you're having a fantastic day!",polite
"I'm delighted with the results of our collaboration.",polite
"I'm absolutely outraged by this behavior.",angry
"Please assist me in resolving this issue promptly.",requesting
"Can you explain what happened in this situation?",questioning
"Thank you for your prompt assistance and cooperation!",polite
"I'm really frustrated with the lack of communication.",angry
"Could you please send me the necessary information?",requesting
"Can you clarify the process for me, please?",questioning
